	ALL_dist	ALL_eta	ALL_cp_x	chrm
0	-446.9980425013067	0.2684976007293549	162.06180068008632	PS150221
1	-366.50136425394106	0.7601746049274777	386.3514469413226	PS150221
2	-286.00568176174403	0.8587396653901238	500.5948728612733	PS150221
3	-206.848374419525	0.7679384914253016	358.5498889953425	PS150221
4	-126.3576273914638	0.7313610700982052	250.41773385665772	PS150221
5	-45.89389937671455	0.6922364182820133	213.06310489695784	PS150221
6	45.5	0.6581684760189503	204.28069384697108	PS150221
7	125.92954379334502	0.2893332888730563	179.12360225158739	PS150221
8	206.41281452468013	0.7438155431266515	318.3236960086666	PS150221
9	286.00568176174403	0.6954005935776668	288.6861188434125	PS150221
10	366.50136425394106	0.746227121583847	345.26404455266504	PS150221
11	446.9980425013067	0.581825017483459	177.04603790927024	PS150221
12	-602.3176072472064	0.09708724160102289	337.8118043649821	PS150221
13	-521.8414510174522	0.5197135376596396	355.22740990693603	PS150221
14	-441.37342466442175	0.8086291018374808	690.8556684306786	PS150221
15	-361.829379680534	0.7826509882794006	522.0346103859533	PS150221
16	-281.4045131123522	0.7295902750274741	323.23131825957967	PS150221
17	-205.96237520479318	0.532358337012897	174.97061443941936	PS150221
18	-45.03887209955418	0.5022277231716235	156.38933448129671	PS150221
19	46.351914739307155	0.5743706360067378	178.52959574941508	PS150221
20	125.90671149704451	0.5477439802910481	166.6238318900206	PS150221
21	205.96237520479318	0.4918741570024986	164.1821386828003	PS150221
22	281.4045131123522	0.5968781495383272	164.86498388397536	PS150221
23	361.829379680534	0.7080504627653138	225.73469848816262	PS150221
24	442.2810192626403	0.7299678409037639	252.01031450200185	PS150221
25	522.7470707713244	0.6545705641271007	305.92167986125617	PS150221
26	602.3176072472064	0.6211607512933152	175.02033724972227	PS150221
27	-581.1613373238106	0.6816231285893142	382.4390804216391	PS150221
28	-494.7671169348262	0.9165290734045002	702.8443408573794	PS150221
29	-407.4193171659881	0.7328597003074679	354.33347716515664	PS150221
30	-331.5516551006796	0.6353001493142325	256.84259404696377	PS150221
31	-244.49642124170242	0.5436193356044239	190.35789517611659	PS150221
32	5.522680508593631	0.4148773504270341	152.88198746805722	PS150221
33	168.34042889335882	0.5214931916507443	184.75150832459974	PS150221
34	255.7000195541643	0.5697741666519489	233.36696269911977	PS150221
35	331.5516551006796	0.7140416129314657	285.0994594355449	PS150221
36	418.90631410853666	0.6920163870622549	221.70888097808734	PS150221
37	505.30436372546797	0.5773027800328332	248.3091963280898	PS150221
38	581.1613373238106	0.268161949385882	169.5910578504413	PS150221
39	-833.4776541695644	0.1018753544440053	390.79076763974786	PS150221
40	-757.6681331559353	0.010649850421834861	238.42648399385735	PS150221
41	-666.6963326732794	0.05151565456575391	220.24981228423042	PS150221
42	-580.6694412486333	0.7885507830460957	699.2513539995672	PS150221
43	-489.3107397145499	0.7972429870611458	470.72371434170435	PS150221
44	-397.96607895648594	0.641471397253489	259.78336519154936	PS150221
45	-311.0771608459869	0.5150392979490553	173.50274609281223	PS150221
46	216.33307652783935	0.5687259848166291	159.03849374218964	PS150221
47	307.58413483143113	0.7315998031696478	250.58707735133555	PS150221
48	393.7829351305107	0.6848200216727263	306.55520118809545	PS150221
49	485.0247416369602	0.6573130638095674	358.5174695058404	PS150221
50	575.960068060278	0.7011360176916765	260.29272515253035	PS150221
51	663.0671157582767	0.6169606802188865	197.75471277431393	PS150221
52	754.3328177933133	0.14849743730222997	171.16533637443956	PS150221
53	833.4776541695644	0.008558584867499275	258.81426874662293	PS150221
54	-795.908600280208	0.03750222943466819	267.19653936722955	PS150221
55	-543.6676374403759	0.46612783602783514	745.8461290989849	PS150221
56	-463.2607257258055	0.8833206502757759	623.6082127166786	PS150221
57	-371.87430672204283	0.684741172538607	271.4348729890547	PS150221
58	-292.42520411209426	0.637302196169383	187.4702502685035	PS150221
59	126.38235636353676	0.5235805384986617	150.5931344043787	PS150221
60	216.8328849598234	0.5446583767702646	169.30341402850604	PS150221
61	297.2885803390369	0.6969668456798601	233.40073968340255	PS150221
62	377.7624915207967	0.6968650276399786	238.42526974824239	PS150221
63	469.1018013182213	0.2857362153808858	281.4793803941352	PS150221
64	549.5711964795826	0.6988538822040724	267.04510248147506	PS150221
65	640.9153610267116	0.7147975503352688	311.4385745022861	PS150221
66	720.4765783840583	0.39483386176751	456.18966629854367	PS150221
67	795.908600280208	-0.0014990740269795744	352.3571415843992	PS150221
68	-756.2397106738048	0.13096068720352372	554.2432939537321	PS150221
69	-681.0657090178597	-0.006430870920916432	274.5447840938757	PS150221
70	-596.2704923103272	0.027263094784236497	205.74089712034595	PS150221
71	-523.2881615324391	0.5946679175054268	467.16087617954537	PS150221
72	-438.5230894719228	0.8339685413837652	665.2804907501661	PS150221
73	-364.55520843899626	0.9386361619822416	698.9264274207231	PS150221
74	-279.7364831408302	0.8948984156936024	746.7987972245488	PS150221
75	-194.94742881094894	0.7227692632094713	341.4230925644308	PS150221
76	-121.98565489433584	0.5509433827143756	219.2181107404541	PS150221
77	-37.63641853311763	0.4679426005414833	186.00933404120713	PS150221
78	38.268786236304905	0.438548646708085	174.96462295444996	PS150221
79	121.78875153313626	0.5416788678101407	185.60430544799	PS150221
80	194.7626760958064	0.6553543016974508	219.47966500867142	PS150221
81	279.5648404216811	0.7925313555216011	368.02611868611586	PS150221
